delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,duration_hours,data_anomaly_flag,cost_per_km,dispatch_hour,dispatch_month,high_override_flag
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904311,Failed,17.26,1,0,3.07,12.05,22.149973419722222,False,0.6981460023174971,10,6,False
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,OnTime,10.34,1,0,5.0,13.41,-1.1,True,1.2969052224371374,18,1,False
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.366770,OnTime,7.92,0,0,4.98,8.51,1.1089907694444445,False,1.0744949494949494,20,6,False
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.103702,Delayed,16.42,0,0,4.18,13.62,23.985584361666664,False,0.8294762484774664,23,3,False
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131056,OnTime,14.52,1,0,4.18,9.22,4.042814182222222,False,0.6349862258953168,11,9,False
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,Delayed,13.84,0,0,1.57,9.58,28.531218019166666,False,0.6921965317919075,12,9,False
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,Delayed,32.72,0,0,4.64,17.7,33.969742458333336,False,0.5409535452322738,13,1,False
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531162,OnTime,7.16,1,0,3.76,11.66,1.8059808783333333,False,1.6284916201117319,21,8,False
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,OnTime,40.23,1,0,3.7,15.78,3.7646314688888887,False,0.39224459358687547,21,4,False
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151459,Failed,9.85,1,0,3.2,9.31,6.1080976275,False,0.9451776649746194,19,9,False
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 02:29:05.367622,OnTime,13.85,0,0,4.36,15.17,-0.6651756605555555,True,1.0953068592057762,3,2,False
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.387672,Failed,16.96,3,0,,16.98,13.751496575555555,False,1.0011792452830188,19,12,True
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834127,OnTime,6.01,2,0,3.96,11.52,2.0752317019444444,False,1.9168053244592347,8,1,False
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,OnTime,16.46,0,0,3.67,11.74,8.178832138888888,False,0.7132442284325637,12,5,False
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.080634,OnTime,26.58,3,0,4.47,21.64,9.482244620555555,False,0.8141459744168549,22,8,True
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780258,OnTime,18.25,1,0,5.0,12.61,3.066883405,False,0.690958904109589,1,6,False
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.086626,Delayed,20.79,0,0,1.0,15.62,8.661690729444445,False,0.7513227513227513,18,8,False
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 09:54:19.874248,OnTime,13.67,0,0,4.46,16.18,-0.9611460422222222,True,1.1836137527432333,10,7,False
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272083,OnTime,16.35,4,0,4.97,13.97,7.9114644675,False,0.854434250764526,23,6,True
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,OnTime,24.31,0,0,4.15,12.61,1.6938309466666668,False,0.5187165775401069,12,3,False
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52.916514,OnTime,9.77,4,0,4.07,6.43,21.014699031666666,False,0.6581371545547595,14,4,True
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39.715444,Failed,15.81,0,0,3.5,15.62,4.077698734444445,False,0.9879822896900695,0,8,False
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11.392658,OnTime,4.29,1,0,5.0,2.5,1.3531646272222222,False,0.5827505827505828,1,6,False
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44.601237,OnTime,8.58,0,0,4.78,14.62,3.6457225658333337,False,1.7039627039627039,14,8,False
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15.665186,OnTime,7.41,0,0,5.0,7.2,2.6710181072222223,False,0.97165991902834,19,9,False
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45.831712,Failed,14.27,2,0,2.23,10.04,38.54606436444445,False,0.7035739313244569,11,2,False
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30.937528,OnTime,13.27,0,0,4.15,9.05,20.89192709111111,False,0.6819894498869632,3,1,False
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,Delayed,15.53,2,0,2.7,13.05,12.383442527777778,False,0.8403090792015455,15,11,False
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,2024-05-15 04:38:00.000000,OnTime,9.43,1,0,3.72,8.72,-2.183333333333333,True,0.924708377518558,6,5,False
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12.494298,OnTime,7.71,1,0,4.1,16.42,0.420137305,False,2.12970168612192,18,6,False
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2025-07-23 23:21:38.152021,OnTime,12.06,0,0,4.1,14.98,-0.17273554972222221,True,1.24212271973466,23,7,False
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,OnTime,15.58,1,0,4.23,13.75,2.9962067233333336,False,0.8825417201540436,2,1,False
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25.201294,Failed,11.72,0,1,4.13,18.12,40.840333692777776,False,1.546075085324232,14,11,False
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57.054608,Delayed,14.68,0,0,4.4,9.44,17.232515168888888,False,0.6430517711171662,12,6,False
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14.948650,OnTime,22.05,0,0,4.96,14.78,4.354152402777778,False,0.6702947845804988,21,5,False
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12.967657,OnTime,15.77,1,0,4.35,13.68,5.920268793611111,False,0.8674698795180723,22,11,False
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07.723523,OnTime,23.49,1,0,4.21,11.21,23.76881208972222,False,0.47722435078756925,2,5,False
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11.478296,Failed,8.82,2,0,3.43,13.21,1.2031884155555557,False,1.497732426303855,15,10,False
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45.664955,Failed,17.13,1,0,2.51,16.3,12.412684709722223,False,0.9515469935785174,15,7,False
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2025-02-02 04:04:35.282288,Failed,9.53,1,0,1.68,11.11,19.44313396888889,False,1.1657922350472194,8,2,False
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,2024-02-01 19:53:37.396269,Failed,15.88,3,1,2.94,13.19,10.927054519166665,False,0.8306045340050378,8,2,True
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,OnTime,12.02,0,0,4.45,11.41,9.748425948333333,False,0.9492512479201332,1,10,False
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,2024-12-04 20:31:28.589644,OnTime,11.94,0,0,4.24,11.81,4.757941567777777,False,0.9891122278056952,15,12,False
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2024-07-12 12:20:42.900637,OnTime,4.63,0,0,4.34,12.87,2.5619168436111113,False,2.7796976241900646,9,7,False
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2025-11-07 21:03:01.572726,OnTime,10.61,1,0,5.0,14.13,20.517103535,False,1.3317624882186618,0,11,False
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,2025-10-31 06:59:41.392827,OnTime,5.53,2,0,3.09,11.27,23.4114980075,False,2.0379746835443036,7,10,False
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,2024-02-19 03:46:04.685358,OnTime,16.33,0,0,5.0,10.25,-0.34869851166666666,True,0.6276791181873852,4,2,False
